dt,LandAverageTemperature,LandAverageTemperatureUncertainty
01/03/1830,5.267,0.857
01/04/1830,9.031,0.803
01/05/1830,12.523,0.834
01/06/1830,15.473,0.894
01/07/1830,16.222,0.836
01/08/1830,15.893,0.921
01/09/1830,12.801,0.946
01/10/1830,8.865,0.865
01/11/1830,5.217,0.86
01/12/1830,2.816,0.75
01/01/1831,2.329,0.912
01/02/1831,2.93,0.773
01/03/1831,5.31,0.973
01/04/1831,8.994,0.809
01/05/1831,12.5,0.833
01/06/1831,15.176,0.966
01/07/1831,16.412,0.816
01/08/1831,16.055,0.915
01/09/1831,12.769,0.916
01/10/1831,9.026,0.74
01/11/1831,4.988,0.797
01/12/1831,2.661,0.91
01/01/1832,2.439,0.934
01/02/1832,2.965,0.977
01/03/1832,5.297,0.748
01/04/1832,9.084,0.826
01/05/1832,12.547,0.808
01/06/1832,15.198,0.95
01/07/1832,16.488,0.918
01/08/1832,16.111,0.763
01/09/1832,12.82,0.863
01/10/1832,8.851,0.732
01/11/1832,4.978,0.911
01/12/1832,2.549,0.887
01/01/1833,2.328,0.892
01/02/1833,3.057,0.935
01/03/1833,5.403,0.908
01/04/1833,9.085,0.867
01/05/1833,12.326,0.799
01/06/1833,15.462,0.755
01/07/1833,16.348,0.858
01/08/1833,16.006,0.87
01/09/1833,12.594,0.893
01/10/1833,8.726,0.932
01/11/1833,5.001,0.849
01/12/1833,2.571,0.847
01/01/1834,2.257,0.724
01/02/1834,2.858,0.934
01/03/1834,5.493,0.738
01/04/1834,9.019,0.835
01/05/1834,12.436,0.954
01/06/1834,15.177,0.957
01/07/1834,16.417,0.925
01/08/1834,15.933,0.852
01/09/1834,12.638,0.901
01/10/1834,8.995,0.949
01/11/1834,5.061,0.727
01/12/1834,2.637,0.776
01/01/1835,2.302,0.897
01/02/1835,2.972,0.827
01/03/1835,5.263,0.804
01/04/1835,8.959,0.875
01/05/1835,12.69,0.854
01/06/1835,15.335,0.769
01/07/1835,16.308,0.751
01/08/1835,16.095,0.902
01/09/1835,12.645,0.859
01/10/1835,8.834,0.909
01/11/1835,5.043,0.875
01/12/1835,2.621,0.882
01/01/1836,2.287,0.712
01/02/1836,2.93,0.799
01/03/1836,5.206,0.767
01/04/1836,9.111,0.875
01/05/1836,12.56,0.867
01/06/1836,15.203,0.865
01/07/1836,16.517,0.821
01/08/1836,16.218,0.886
01/09/1836,12.75,0.722
01/10/1836,8.792,0.885
01/11/1836,5.034,0.883
01/12/1836,2.912,0.697
01/01/1837,2.3,0.696
01/02/1837,2.877,0.858
01/03/1837,5.323,0.794
01/04/1837,9.044,0.77
01/05/1837,12.411,0.772
01/06/1837,15.266,0.744
01/07/1837,16.491,0.861
01/08/1837,16.061,0.737
01/09/1837,12.73,0.896
01/10/1837,8.864,0.741
01/11/1837,4.95,0.718
01/12/1837,2.687,0.913
01/01/1838,2.364,0.898
01/02/1838,2.85,0.855
01/03/1838,5.276,0.774
01/04/1838,9.12,0.85
01/05/1838,12.562,0.763
01/06/1838,15.316,0.796
01/07/1838,16.43,0.871
01/08/1838,15.925,0.915
01/09/1838,12.812,0.786
01/10/1838,8.856,0.741
01/11/1838,5.129,0.808
01/12/1838,2.58,0.672
01/01/1839,2.318,0.736
01/02/1839,3.118,0.816
01/03/1839,5.215,0.783
01/04/1839,9.107,0.853
01/05/1839,12.658,0.85
01/06/1839,15.514,0.721
01/07/1839,16.494,0.718
01/08/1839,15.976,0.747
01/09/1839,12.902,0.898
01/10/1839,8.663,0.66
01/11/1839,4.943,0.842
01/12/1839,2.476,0.686
01/01/1840,2.187,0.773
01/02/1840,2.957,0.665
01/03/1840,5.563,0.673
01/04/1840,9.07,0.88
01/05/1840,12.69,0.825
01/06/1840,15.186,0.743
01/07/1840,16.423,0.674
01/08/1840,15.966,0.683
01/09/1840,12.794,0.792
01/10/1840,8.831,0.759
01/11/1840,5.16,0.715
01/12/1840,2.654,0.729
01/01/1841,2.335,0.824
01/02/1841,2.799,0.72
01/03/1841,5.37,0.691
01/04/1841,9.123,0.835
01/05/1841,12.516,0.681
01/06/1841,15.241,0.757
01/07/1841,16.252,0.881
01/08/1841,16.058,0.692
01/09/1841,12.742,0.67
01/10/1841,8.964,0.679
01/11/1841,4.988,0.814
01/12/1841,2.469,0.65
01/01/1842,2.334,0.653
01/02/1842,2.887,0.692
01/03/1842,5.29,0.799
01/04/1842,9.192,0.695
01/05/1842,12.609,0.731
01/06/1842,15.277,0.743
01/07/1842,16.378,0.746
01/08/1842,15.888,0.831
01/09/1842,12.79,0.838
01/10/1842,8.893,0.876
01/11/1842,5.231,0.723
01/12/1842,2.842,0.788
01/01/1843,2.184,0.685
01/02/1843,2.856,0.823
01/03/1843,5.425,0.846
01/04/1843,9.087,0.731
01/05/1843,12.761,0.827
01/06/1843,15.47,0.703
01/07/1843,16.51,0.662
01/08/1843,16.016,0.763
01/09/1843,12.834,0.627
01/10/1843,8.773,0.791
01/11/1843,5.12,0.667
01/12/1843,2.755,0.69
01/01/1844,2.307,0.765
01/02/1844,2.962,0.671
01/03/1844,5.349,0.748
01/04/1844,9.202,0.625
01/05/1844,12.572,0.66
01/06/1844,15.348,0.831
01/07/1844,16.217,0.811
01/08/1844,15.956,0.809
01/09/1844,12.993,0.7
01/10/1844,8.87,0.746
01/11/1844,4.82,0.736
01/12/1844,2.709,0.707
01/01/1845,2.331,0.655
01/02/1845,3.081,0.824
01/03/1845,5.394,0.848
01/04/1845,9.045,0.732
01/05/1845,12.636,0.843
01/06/1845,14.814,0.625
01/07/1845,16.334,0.804
01/08/1845,15.907,0.829
01/09/1845,13.164,0.655
01/10/1845,9.025,0.812
01/11/1845,5.119,0.81
01/12/1845,2.579,0.811
01/01/1846,2.361,0.792
01/02/1846,3.133,0.764
01/03/1846,5.413,0.765
01/04/1846,9.074,0.827
01/05/1846,12.447,0.637
01/06/1846,15.229,0.837
01/07/1846,16.492,0.667
01/08/1846,15.894,0.713
01/09/1846,12.862,0.645
01/10/1846,8.936,0.722
01/11/1846,5.357,0.64
01/12/1846,2.69,0.623
01/01/1847,2.236,0.791
01/02/1847,2.728,0.661
01/03/1847,5.549,0.809
01/04/1847,9.113,0.774
01/05/1847,12.727,0.82
01/06/1847,15.096,0.673
01/07/1847,16.504,0.605
01/08/1847,15.948,0.655
01/09/1847,12.837,0.817
01/10/1847,8.944,0.778
01/11/1847,5.26,0.624
01/12/1847,2.649,0.822
01/01/1848,2.198,0.767
01/02/1848,2.735,0.626
01/03/1848,5.331,0.647
01/04/1848,9.054,0.742
01/05/1848,12.729,0.807
01/06/1848,15.433,0.807
01/07/1848,16.094,0.811
01/08/1848,16.237,0.578
01/09/1848,12.578,0.812
01/10/1848,8.732,0.625
01/11/1848,4.836,0.605
01/12/1848,2.581,0.756
01/01/1849,2.322,0.602
01/02/1849,3.337,0.781
01/03/1849,5.556,0.72
01/04/1849,9.196,0.782
01/05/1849,12.508,0.622
01/06/1849,15.327,0.577
01/07/1849,16.394,0.56
01/08/1849,16.054,0.656
01/09/1849,12.762,0.781
01/10/1849,8.582,0.683
01/11/1849,4.987,0.585
01/12/1849,2.801,0.68
01/01/1850,2.413,0.722
01/02/1850,2.868,0.591
01/03/1850,5.607,0.624
01/04/1850,9.203,0.63
01/05/1850,12.644,0.593
01/06/1850,15.285,0.644
01/07/1850,16.382,0.775
01/08/1850,15.849,0.573
01/09/1850,12.662,0.671
01/10/1850,8.807,0.558
01/11/1850,5.166,0.772
01/12/1850,2.674,0.589
01/01/1851,2.367,0.587
01/02/1851,3.05,0.714
01/03/1851,5.368,0.606
01/04/1851,8.91,0.61
01/05/1851,12.605,0.683
01/06/1851,15.34,0.75
01/07/1851,16.466,0.647
01/08/1851,16.095,0.614
01/09/1851,12.716,0.59
01/10/1851,8.763,0.546
01/11/1851,5.149,0.56
01/12/1851,2.789,0.751
01/01/1852,2.261,0.652
01/02/1852,3.117,0.695
01/03/1852,5.531,0.576
01/04/1852,9.186,0.751
01/05/1852,12.515,0.596
01/06/1852,15.4,0.646
01/07/1852,16.418,0.545
01/08/1852,16.098,0.718
01/09/1852,12.779,0.616
01/10/1852,8.86,0.665
01/11/1852,5.262,0.668
01/12/1852,2.675,0.74
01/01/1853,2.359,0.654
01/02/1853,2.893,0.737
01/03/1853,5.162,0.639
01/04/1853,9.146,0.54
01/05/1853,12.762,0.646
01/06/1853,15.198,0.745
01/07/1853,16.463,0.675
01/08/1853,15.835,0.55
01/09/1853,12.81,0.766
01/10/1853,8.833,0.763
01/11/1853,5.129,0.626
01/12/1853,2.649,0.767
01/01/1854,1.931,0.667
01/02/1854,3.172,0.719
01/03/1854,5.396,0.739
01/04/1854,9.373,0.527
01/05/1854,12.517,0.592
01/06/1854,15.388,0.579
01/07/1854,16.174,0.707
01/08/1854,16.073,0.666
01/09/1854,12.686,0.614
01/10/1854,8.892,0.547
01/11/1854,4.937,0.745
01/12/1854,2.603,0.741
01/01/1855,2.261,0.572
01/02/1855,2.991,0.634
01/03/1855,5.343,0.596
01/04/1855,9.215,0.621
01/05/1855,12.586,0.569
01/06/1855,15.291,0.536
01/07/1855,16.269,0.51
01/08/1855,15.896,0.722
01/09/1855,12.769,0.686
01/10/1855,8.989,0.73
01/11/1855,5.131,0.704
01/12/1855,2.697,0.576
01/01/1856,2.288,0.664
01/02/1856,3.152,0.515
01/03/1856,5.459,0.734
01/04/1856,9.067,0.601
01/05/1856,12.658,0.594
01/06/1856,15.23,0.651
01/07/1856,16.446,0.696
01/08/1856,16.091,0.675
01/09/1856,12.829,0.695
01/10/1856,8.674,0.619
01/11/1856,5.171,0.617
01/12/1856,2.802,0.524
01/01/1857,2.464,0.487
01/02/1857,2.819,0.528
01/03/1857,5.531,0.542
01/04/1857,8.919,0.594
01/05/1857,12.78,0.548
01/06/1857,15.225,0.686
01/07/1857,16.247,0.511
01/08/1857,16.012,0.488
01/09/1857,12.705,0.524
01/10/1857,9.033,0.698
01/11/1857,5.022,0.521
01/12/1857,2.66,0.704
01/01/1858,2.319,0.541
01/02/1858,2.837,0.567
01/03/1858,5.501,0.711
01/04/1858,9.254,0.684
01/05/1858,12.511,0.537
01/06/1858,15.176,0.572
01/07/1858,16.627,0.662
01/08/1858,16.046,0.472
01/09/1858,12.967,0.62
01/10/1858,8.829,0.472
01/11/1858,5.117,0.546
01/12/1858,2.937,0.712
01/01/1859,2.244,0.554
01/02/1859,2.924,0.547
01/03/1859,5.421,0.629
01/04/1859,9.257,0.666
01/05/1859,12.578,0.588
01/06/1859,15.356,0.626
01/07/1859,16.487,0.622
01/08/1859,15.926,0.612
01/09/1859,12.805,0.476
01/10/1859,8.977,0.707
01/11/1859,4.971,0.525
01/12/1859,2.538,0.638
01/01/1860,2.404,0.487
01/02/1860,2.962,0.641
01/03/1860,5.601,0.651
01/04/1860,8.997,0.6
01/05/1860,12.529,0.63
01/06/1860,15.172,0.614
01/07/1860,16.518,0.555
01/08/1860,16.024,0.547
01/09/1860,13.009,0.593
01/10/1860,8.967,0.497
01/11/1860,5.113,0.584
01/12/1860,2.641,0.646
01/01/1861,2.477,0.567
01/02/1861,2.929,0.651
01/03/1861,5.56,0.485
01/04/1861,8.921,0.464
01/05/1861,12.692,0.642
01/06/1861,15.395,0.631
01/07/1861,16.502,0.524
01/08/1861,16.193,0.462
01/09/1861,12.706,0.517
01/10/1861,9.084,0.637
01/11/1861,5.082,0.514
01/12/1861,2.809,0.653
01/01/1862,2.094,0.576
01/02/1862,3.075,0.666
01/03/1862,5.658,0.555
01/04/1862,9.24,0.647
01/05/1862,12.556,0.444
01/06/1862,15.399,0.644
01/07/1862,16.483,0.532
01/08/1862,16.092,0.572
01/09/1862,12.941,0.509
01/10/1862,8.857,0.609
01/11/1862,5.156,0.588
01/12/1862,2.594,0.474
01/01/1863,2.326,0.488
01/02/1863,3.025,0.61
01/03/1863,5.533,0.542
01/04/1863,9.311,0.611
01/05/1863,12.774,0.578
01/06/1863,15.42,0.521
01/07/1863,16.549,0.429
01/08/1863,16.008,0.47
01/09/1863,12.819,0.501
01/10/1863,8.948,0.628
01/11/1863,5.199,0.577
01/12/1863,2.901,0.482
01/01/1864,2.298,0.442
01/02/1864,2.933,0.506
01/03/1864,5.374,0.616
01/04/1864,9.098,0.485
01/05/1864,12.587,0.559
01/06/1864,15.523,0.494
01/07/1864,16.737,0.496
01/08/1864,15.781,0.635
01/09/1864,12.787,0.647
01/10/1864,8.996,0.64
01/11/1864,5.065,0.592
01/12/1864,2.785,0.443
01/01/1865,2.323,0.442
01/02/1865,2.879,0.492
01/03/1865,5.419,0.619
01/04/1865,9.112,0.464
01/05/1865,12.602,0.649
01/06/1865,15.331,0.565
01/07/1865,16.425,0.572
01/08/1865,16.019,0.504
01/09/1865,12.728,0.519
01/10/1865,9.042,0.438
01/11/1865,5.082,0.475
01/12/1865,2.579,0.565
01/01/1866,2.292,0.541
01/02/1866,2.96,0.424
01/03/1866,5.469,0.57
01/04/1866,9.092,0.419
01/05/1866,12.684,0.44
01/06/1866,15.379,0.44
01/07/1866,16.43,0.44
01/08/1866,16.187,0.566
01/09/1866,12.832,0.514
01/10/1866,8.974,0.442
01/11/1866,5.24,0.391
01/12/1866,2.698,0.558
01/01/1867,2.534,0.547
01/02/1867,2.918,0.417
01/03/1867,5.565,0.561
01/04/1867,9.221,0.405
01/05/1867,12.641,0.627
01/06/1867,15.431,0.454
01/07/1867,16.39,0.424
01/08/1867,16.056,0.39
01/09/1867,12.79,0.458
01/10/1867,9.153,0.565
01/11/1867,5.311,0.391
01/12/1867,2.858,0.593
01/01/1868,2.309,0.459
01/02/1868,2.984,0.479
01/03/1868,5.269,0.393
01/04/1868,8.976,0.574
01/05/1868,12.697,0.611
01/06/1868,15.458,0.438
01/07/1868,16.271,0.57
01/08/1868,16.201,0.532
01/09/1868,12.864,0.544
01/10/1868,8.891,0.385
01/11/1868,5.213,0.474
01/12/1868,2.722,0.518
01/01/1869,2.408,0.405
01/02/1869,2.878,0.455
01/03/1869,5.431,0.531
01/04/1869,9.172,0.57
01/05/1869,12.712,0.59
01/06/1869,15.339,0.388
01/07/1869,16.418,0.425
01/08/1869,16.069,0.439
01/09/1869,12.799,0.552
01/10/1869,8.776,0.504
01/11/1869,4.845,0.527
01/12/1869,2.618,0.445
01/01/1870,2.168,0.374
01/02/1870,3.025,0.515
01/03/1870,5.453,0.519
01/04/1870,9.263,0.446
01/05/1870,12.734,0.597
01/06/1870,15.222,0.364
01/07/1870,16.409,0.562
01/08/1870,15.997,0.563
01/09/1870,12.885,0.473
01/10/1870,8.918,0.41
01/11/1870,5.19,0.406
01/12/1870,2.745,0.511
01/01/1871,2.283,0.455
01/02/1871,3.105,0.54
01/03/1871,5.231,0.452
01/04/1871,9.231,0.37
01/05/1871,12.48,0.366
01/06/1871,15.358,0.443
01/07/1871,16.453,0.363
01/08/1871,16.054,0.491
01/09/1871,12.78,0.467
01/10/1871,8.885,0.392
01/11/1871,5.016,0.431
01/12/1871,2.496,0.354
01/01/1872,2.38,0.47
01/02/1872,3.188,0.485
01/03/1872,5.285,0.509
01/04/1872,9.187,0.359
01/05/1872,12.663,0.415
01/06/1872,15.273,0.537
01/07/1872,16.555,0.46
01/08/1872,16.036,0.506
01/09/1872,12.927,0.365
01/10/1872,8.978,0.509
01/11/1872,5.148,0.483
01/12/1872,2.702,0.377
01/01/1873,2.469,0.434
01/02/1873,3.01,0.515
01/03/1873,5.449,0.424
01/04/1873,9.104,0.552
01/05/1873,12.744,0.513
01/06/1873,15.224,0.433
01/07/1873,16.297,0.354
01/08/1873,15.809,0.445
01/09/1873,12.823,0.554
01/10/1873,8.953,0.53
01/11/1873,5.018,0.55
01/12/1873,2.776,0.364
01/01/1874,2.192,0.342
01/02/1874,2.971,0.407
01/03/1874,5.263,0.436
01/04/1874,9.017,0.406
01/05/1874,12.928,0.501
01/06/1874,15.329,0.378
01/07/1874,16.774,0.423
01/08/1874,15.991,0.343
01/09/1874,12.704,0.497
01/10/1874,9.06,0.385
01/11/1874,5.092,0.488
01/12/1874,2.536,0.544
01/01/1875,2.312,0.456
01/02/1875,3.007,0.373
01/03/1875,5.365,0.545
01/04/1875,9.314,0.463
01/05/1875,12.803,0.474
01/06/1875,15.329,0.381
01/07/1875,16.55,0.42
01/08/1875,16.14,0.443
01/09/1875,12.804,0.487
01/10/1875,8.858,0.51
01/11/1875,5.114,0.502
01/12/1875,2.993,0.431
01/01/1876,2.435,0.458
01/02/1876,3.079,0.34
01/03/1876,5.469,0.362
01/04/1876,9.098,0.353
01/05/1876,12.767,0.364
01/06/1876,15.213,0.478
01/07/1876,16.684,0.316
01/08/1876,16.113,0.507
01/09/1876,12.853,0.476
01/10/1876,8.729,0.43
01/11/1876,5.185,0.49
01/12/1876,2.978,0.362
01/01/1877,2.231,0.377
01/02/1877,2.836,0.519
01/03/1877,5.574,0.418
01/04/1877,9.156,0.283
01/05/1877,12.67,0.475
01/06/1877,15.539,0.498
01/07/1877,16.599,0.456
01/08/1877,15.84,0.442
01/09/1877,12.876,0.431
01/10/1877,8.821,0.474
01/11/1877,5.269,0.324
01/12/1877,2.749,0.451
01/01/1878,2.403,0.398
01/02/1878,3.143,0.364
01/03/1878,5.337,0.303
01/04/1878,9.241,0.416
01/05/1878,12.671,0.447
01/06/1878,15.482,0.309
01/07/1878,16.535,0.283
01/08/1878,16.161,0.503
01/09/1878,12.742,0.393
01/10/1878,8.857,0.413
01/11/1878,5.042,0.349
01/12/1878,2.938,0.325
01/01/1879,2.395,0.386
01/02/1879,3.118,0.364
01/03/1879,5.426,0.315
01/04/1879,9.165,0.313
01/05/1879,12.621,0.315
01/06/1879,15.476,0.448
01/07/1879,16.08,0.466
01/08/1879,16.0,0.505
01/09/1879,13.055,0.371
01/10/1879,8.987,0.486
01/11/1879,5.051,0.5
01/12/1879,2.668,0.431
01/01/1880,2.265,0.486
01/02/1880,3.321,0.346
01/03/1880,5.385,0.478
01/04/1880,9.155,0.456
01/05/1880,12.527,0.361
01/06/1880,15.533,0.261
01/07/1880,16.543,0.378
01/08/1880,16.033,0.487
01/09/1880,13.029,0.384
01/10/1880,9.241,0.252
01/11/1880,5.344,0.443
01/12/1880,2.851,0.466
01/01/1881,2.333,0.374
01/02/1881,3.109,0.416
01/03/1881,5.688,0.402
01/04/1881,9.152,0.475
01/05/1881,12.681,0.355
01/06/1881,15.313,0.323
01/07/1881,16.517,0.439
01/08/1881,16.104,0.38
01/09/1881,12.806,0.305
01/10/1881,8.944,0.337
01/11/1881,5.095,0.244
01/12/1881,2.689,0.408
01/01/1882,2.218,0.385
01/02/1882,3.048,0.419
01/03/1882,5.325,0.248
01/04/1882,9.09,0.462
01/05/1882,12.851,0.305
01/06/1882,15.516,0.252
01/07/1882,16.498,0.329
01/08/1882,15.957,0.395
01/09/1882,12.739,0.264
01/10/1882,9.01,0.328
01/11/1882,5.23,0.47
01/12/1882,2.641,0.266
01/01/1883,2.271,0.419
01/02/1883,2.85,0.402
01/03/1883,5.284,0.358
01/04/1883,9.398,0.359
01/05/1883,12.697,0.369
01/06/1883,15.397,0.354
01/07/1883,16.585,0.407
01/08/1883,16.055,0.446
01/09/1883,12.82,0.381
01/10/1883,9.091,0.348
01/11/1883,5.233,0.429
01/12/1883,2.86,0.269
01/01/1884,2.481,0.423
01/02/1884,3.287,0.423
01/03/1884,5.843,0.325
01/04/1884,9.032,0.347
01/05/1884,12.68,0.235
01/06/1884,15.435,0.391
01/07/1884,16.384,0.242
01/08/1884,16.1,0.374
01/09/1884,13.026,0.435
01/10/1884,9.089,0.289
01/11/1884,5.033,0.286
01/12/1884,2.842,0.356
01/01/1885,2.289,0.279
01/02/1885,3.048,0.307
01/03/1885,5.584,0.255
01/04/1885,9.197,0.385
01/05/1885,12.483,0.234
01/06/1885,15.484,0.383
01/07/1885,16.59,0.29
01/08/1885,16.001,0.276
01/09/1885,12.823,0.352
01/10/1885,8.97,0.41
01/11/1885,5.236,0.335
01/12/1885,2.743,0.266
01/01/1886,2.433,0.209
01/02/1886,3.066,0.195
01/03/1886,5.467,0.335
01/04/1886,9.196,0.291
01/05/1886,12.476,0.328
01/06/1886,15.257,0.326
01/07/1886,16.633,0.384
01/08/1886,16.096,0.281
01/09/1886,12.931,0.373
01/10/1886,9.2,0.263
01/11/1886,5.057,0.289
01/12/1886,2.828,0.316
01/01/1887,2.278,0.382
01/02/1887,2.901,0.334
01/03/1887,5.572,0.292
01/04/1887,9.324,0.225
01/05/1887,12.867,0.422
01/06/1887,15.344,0.364
01/07/1887,16.387,0.235
01/08/1887,16.111,0.302
01/09/1887,13.006,0.191
01/10/1887,9.044,0.232
01/11/1887,5.295,0.297
01/12/1887,2.737,0.294
01/01/1888,2.725,0.251
01/02/1888,3.199,0.346
01/03/1888,5.279,0.379
01/04/1888,9.172,0.236
01/05/1888,12.631,0.333
01/06/1888,15.382,0.261
01/07/1888,16.372,0.299
01/08/1888,15.915,0.264
01/09/1888,13.023,0.258
01/10/1888,8.923,0.387
01/11/1888,5.065,0.321
01/12/1888,2.814,0.295
01/01/1889,2.452,0.179
01/02/1889,3.161,0.321
01/03/1889,5.524,0.251
01/04/1889,9.28,0.339
01/05/1889,12.769,0.363
01/06/1889,15.464,0.34
01/07/1889,16.369,0.213
01/08/1889,16.121,0.2
01/09/1889,12.918,0.171
01/10/1889,8.983,0.303
01/11/1889,5.295,0.17
01/12/1889,2.949,0.303
01/01/1890,2.495,0.195
01/02/1890,3.14,0.39
01/03/1890,5.383,0.155
01/04/1890,9.118,0.33
01/05/1890,12.657,0.171
01/06/1890,15.325,0.262
01/07/1890,16.749,0.193
01/08/1890,16.097,0.358
01/09/1890,12.736,0.355
01/10/1890,8.882,0.195
01/11/1890,5.158,0.331
01/12/1890,2.729,0.236
01/01/1891,2.258,0.197
01/02/1891,3.157,0.236
01/03/1891,5.574,0.355
01/04/1891,9.262,0.266
01/05/1891,12.651,0.164
01/06/1891,15.444,0.259
01/07/1891,16.486,0.336
01/08/1891,16.089,0.266
01/09/1891,13.013,0.173
01/10/1891,9.104,0.291
01/11/1891,5.331,0.334
01/12/1891,2.585,0.302
01/01/1892,2.3,0.141
01/02/1892,3.098,0.262
01/03/1892,5.542,0.327
01/04/1892,9.428,0.225
01/05/1892,12.547,0.32
01/06/1892,15.309,0.304
01/07/1892,16.567,0.249
01/08/1892,16.151,0.188
01/09/1892,12.976,0.349
01/10/1892,8.938,0.232
01/11/1892,5.285,0.327
01/12/1892,2.989,0.274
01/01/1893,2.428,0.284
01/02/1893,3.127,0.292
01/03/1893,5.471,0.159
01/04/1893,9.321,0.283
01/05/1893,12.712,0.226
01/06/1893,15.653,0.211
01/07/1893,16.488,0.309
01/08/1893,16.296,0.223
01/09/1893,12.946,0.213
01/10/1893,8.882,0.259
01/11/1893,5.214,0.206
01/12/1893,2.92,0.296
01/01/1894,2.399,0.275
01/02/1894,2.885,0.297
01/03/1894,5.344,0.15
01/04/1894,9.281,0.164
01/05/1894,12.631,0.248
01/06/1894,15.484,0.284
01/07/1894,16.501,0.351
01/08/1894,16.051,0.111
01/09/1894,12.976,0.341
01/10/1894,9.056,0.219
01/11/1894,5.298,0.13
01/12/1894,2.853,0.119
01/01/1895,2.164,0.253
01/02/1895,3.353,0.23
01/03/1895,5.484,0.336
01/04/1895,9.065,0.305
01/05/1895,12.641,0.15
01/06/1895,15.323,0.264
01/07/1895,16.555,0.108
01/08/1895,16.03,0.25
01/09/1895,12.836,0.142
01/10/1895,9.014,0.109
01/11/1895,5.223,0.139
01/12/1895,2.826,0.349
01/01/1896,2.446,0.189
01/02/1896,3.015,0.237
01/03/1896,5.331,0.107
01/04/1896,9.204,0.113
01/05/1896,12.677,0.319
01/06/1896,15.646,0.177
01/07/1896,16.62,0.242
01/08/1896,16.103,0.139
01/09/1896,13.067,0.155
01/10/1896,8.958,0.192
01/11/1896,5.262,0.164
01/12/1896,2.854,0.327
01/01/1897,2.527,0.299
01/02/1897,2.844,0.283
01/03/1897,5.364,0.322
01/04/1897,9.145,0.221
01/05/1897,12.754,0.32
01/06/1897,15.228,0.195
01/07/1897,16.374,0.087
01/08/1897,16.167,0.109
01/09/1897,13.083,0.329
01/10/1897,9.098,0.249
01/11/1897,5.242,0.319
01/12/1897,2.932,0.209
01/01/1898,2.658,0.132
01/02/1898,3.145,0.093
01/03/1898,5.429,0.089
01/04/1898,9.034,0.303
01/05/1898,12.62,0.294
01/06/1898,15.448,0.137
01/07/1898,16.703,0.297
01/08/1898,16.072,0.195
01/09/1898,12.992,0.288
01/10/1898,9.217,0.122
01/11/1898,5.258,0.225
01/12/1898,2.918,0.109
01/01/1899,2.646,0.229
01/02/1899,3.302,0.226
01/03/1899,5.38,0.195
01/04/1899,9.101,0.071
01/05/1899,12.568,0.183
01/06/1899,15.453,0.306
01/07/1899,16.727,0.183
01/08/1899,15.988,0.306
01/09/1899,13.018,0.116
01/10/1899,8.985,0.204
01/11/1899,5.437,0.18
01/12/1899,2.906,0.195
01/01/1900,2.317,0.222
01/02/1900,3.135,0.094
01/03/1900,5.721,0.165
01/04/1900,9.21,0.222
01/05/1900,12.82,0.195
01/06/1900,15.443,0.131
01/07/1900,16.467,0.187
01/08/1900,16.077,0.109
01/09/1900,12.775,0.141
01/10/1900,9.067,0.175
01/11/1900,5.283,0.143
01/12/1900,3.018,0.264
01/01/1901,2.426,0.083
01/02/1901,3.214,0.194
01/03/1901,5.548,0.117
01/04/1901,9.295,0.109
01/05/1901,12.633,0.086
01/06/1901,15.489,0.29
01/07/1901,16.668,0.094
01/08/1901,16.315,0.175
01/09/1901,13.174,0.179
01/10/1901,9.034,0.23
01/11/1901,5.262,0.191
01/12/1901,2.741,0.192
01/01/1902,2.295,0.065
01/02/1902,3.253,0.253
01/03/1902,5.376,0.162
01/04/1902,9.268,0.134
01/05/1902,12.644,0.283
01/06/1902,15.561,0.114
01/07/1902,16.604,0.267
01/08/1902,16.151,0.291
01/09/1902,12.993,0.212
01/10/1902,9.192,0.094
01/11/1902,5.264,0.218
01/12/1902,2.733,0.172
01/01/1903,2.425,0.145
01/02/1903,2.895,0.122
01/03/1903,5.501,0.092
01/04/1903,9.197,0.252
01/05/1903,12.658,0.193
01/06/1903,15.591,0.262
01/07/1903,16.61,0.107
01/08/1903,16.177,0.129
01/09/1903,12.922,0.211
01/10/1903,9.137,0.118
01/11/1903,5.021,0.141
01/12/1903,2.927,0.197
01/01/1904,2.57,0.096
01/02/1904,3.122,0.056
01/03/1904,5.524,0.285
01/04/1904,9.074,0.225
01/05/1904,12.812,0.076
01/06/1904,15.484,0.066
01/07/1904,16.658,0.057
01/08/1904,16.044,0.149
01/09/1904,12.954,0.116
01/10/1904,8.999,0.089
01/11/1904,5.108,0.127
01/12/1904,2.642,0.112
01/01/1905,2.416,0.083
01/02/1905,3.316,0.26
01/03/1905,5.726,0.265
01/04/1905,9.284,0.131
01/05/1905,12.43,0.185
01/06/1905,15.501,0.118
01/07/1905,16.254,0.224
01/08/1905,16.26,0.094
01/09/1905,12.813,0.209
01/10/1905,8.954,0.191
01/11/1905,5.082,0.127
01/12/1905,2.827,0.137
01/01/1906,2.245,0.16
01/02/1906,3.101,0.141
01/03/1906,5.549,0.05
01/04/1906,9.357,0.254
01/05/1906,12.818,0.167
01/06/1906,15.365,0.052
01/07/1906,16.812,0.169
01/08/1906,16.018,0.052
01/09/1906,12.864,0.108
01/10/1906,9.097,0.052
01/11/1906,5.168,0.19
01/12/1906,2.943,0.149
01/01/1907,2.559,0.147
01/02/1907,3.326,0.145
01/03/1907,5.548,0.11
01/04/1907,9.383,0.241
01/05/1907,12.942,0.221
01/06/1907,15.341,0.121
01/07/1907,16.548,0.153
01/08/1907,15.94,0.263
01/09/1907,12.999,0.209
