dt,AverageTemperature,City
1992-06-01,24.243,Rome
1992-06-01,,Tokyo
1992-06-01,22.886,New York
1992-06-01,12.451,Sydney
1992-06-01,17.686,Moscow
1992-06-01,29.631,Mumbai
1992-07-01,26.426,Rome
1992-07-01,27.307,Tokyo
1992-07-01,,New York
1992-07-01,12.159,Sydney
1992-07-01,20.334,Moscow
1992-07-01,28.127,Mumbai
1992-08-01,25.919,Rome
1992-08-01,29.039,Tokyo
1992-08-01,25.496,New York
1992-08-01,13.489,Sydney
1992-08-01,18.998,Moscow
1992-08-01,27.488,Mumbai
1992-09-01,22.013,Rome
1992-09-01,,Tokyo
1992-09-01,20.883,New York
1992-09-01,16.361,Sydney
1992-09-01,12.492,Moscow
1992-09-01,27.704,Mumbai
1992-10-01,17.09,Rome
1992-10-01,18.304,Tokyo
1992-10-01,14.066,New York
1992-10-01,18.313,Sydney
1992-10-01,4.81,Moscow
1992-10-01,29.568,Mumbai
1992-11-01,12.192,Rome
1992-11-01,12.488,Tokyo
1992-11-01,7.981,New York
1992-11-01,20.084,Sydney
1992-11-01,-1.761,Moscow
1992-11-01,27.397,Mumbai
1992-12-01,8.01,Rome
1992-12-01,7.372,Tokyo
1992-12-01,2.857,New York
1992-12-01,22.255,Sydney
1992-12-01,-7.081,Moscow
1992-12-01,25.676,Mumbai
1993-01-01,7.079,Rome
1993-01-01,5.541,Tokyo
1993-01-01,0.451,New York
1993-01-01,23.003,Sydney
1993-01-01,-9.153,Moscow
1993-01-01,23.968,Mumbai
1993-02-01,9.25,Rome
1993-02-01,5.59,Tokyo
1993-02-01,1.323,New York
1993-02-01,21.984,Sydney
1993-02-01,-7.561,Moscow
1993-02-01,24.351,Mumbai
1993-03-01,11.065,Rome
1993-03-01,9.275,Tokyo
1993-03-01,6.146,New York
1993-03-01,21.683,Sydney
1993-03-01,,Moscow
1993-03-01,27.683,Mumbai
1993-04-01,14.892,Rome
1993-04-01,14.633,Tokyo
1993-04-01,12.245,New York
1993-04-01,18.376,Sydney
1993-04-01,6.3,Moscow
1993-04-01,29.889,Mumbai
1993-05-01,19.698,Rome
1993-05-01,,Tokyo
1993-05-01,17.635,New York
1993-05-01,15.558,Sydney
1993-05-01,14.057,Moscow
1993-05-01,30.989,Mumbai
1993-06-01,24.3,Rome
1993-06-01,22.829,Tokyo
1993-06-01,22.344,New York
1993-06-01,13.278,Sydney
1993-06-01,18.264,Moscow
1993-06-01,,Mumbai
1993-07-01,26.298,Rome
1993-07-01,,Tokyo
1993-07-01,25.307,New York
1993-07-01,12.103,Sydney
1993-07-01,20.373,Moscow
1993-07-01,27.768,Mumbai
1993-08-01,26.284,Rome
1993-08-01,29.331,Tokyo
1993-08-01,24.762,New York
1993-08-01,13.264,Sydney
1993-08-01,18.846,Moscow
1993-08-01,27.024,Mumbai
1993-09-01,21.641,Rome
1993-09-01,24.679,Tokyo
1993-09-01,20.503,New York
1993-09-01,15.606,Sydney
1993-09-01,12.52,Moscow
1993-09-01,28.246,Mumbai
1993-10-01,17.06,Rome
1993-10-01,18.114,Tokyo
1993-10-01,13.663,New York
1993-10-01,18.436,Sydney
1993-10-01,4.997,Moscow
1993-10-01,29.699,Mumbai
1993-11-01,11.912,Rome
1993-11-01,12.338,Tokyo
1993-11-01,7.652,New York
1993-11-01,20.411,Sydney
1993-11-01,-1.835,Moscow
1993-11-01,27.254,Mumbai
1993-12-01,8.389,Rome
1993-12-01,7.511,Tokyo
1993-12-01,2.735,New York
1993-12-01,22.21,Sydney
1993-12-01,,Moscow
1993-12-01,24.727,Mumbai
1994-01-01,8.099,Rome
1994-01-01,5.522,Tokyo
1994-01-01,0.462,New York
1994-01-01,23.018,Sydney
1994-01-01,-9.118,Moscow
1994-01-01,24.417,Mumbai
1994-02-01,8.269,Rome
1994-02-01,5.429,Tokyo
1994-02-01,1.407,New York
1994-02-01,22.796,Sydney
1994-02-01,-7.922,Moscow
1994-02-01,25.233,Mumbai
1994-03-01,11.451,Rome
1994-03-01,9.765,Tokyo
1994-03-01,5.719,New York
1994-03-01,20.607,Sydney
1994-03-01,,Moscow
1994-03-01,27.691,Mumbai
1994-04-01,15.204,Rome
1994-04-01,14.69,Tokyo
1994-04-01,11.858,New York
1994-04-01,19.293,Sydney
1994-04-01,6.163,Moscow
1994-04-01,29.799,Mumbai
1994-05-01,,Rome
1994-05-01,19.344,Tokyo
1994-05-01,17.909,New York
1994-05-01,15.022,Sydney
1994-05-01,13.687,Moscow
1994-05-01,31.324,Mumbai
1994-06-01,23.344,Rome
1994-06-01,,Tokyo
1994-06-01,22.688,New York
1994-06-01,12.661,Sydney
1994-06-01,17.796,Moscow
1994-06-01,29.576,Mumbai
1994-07-01,26.866,Rome
1994-07-01,27.345,Tokyo
1994-07-01,,New York
1994-07-01,11.901,Sydney
1994-07-01,20.512,Moscow
1994-07-01,27.373,Mumbai
1994-08-01,27.015,Rome
1994-08-01,28.666,Tokyo
1994-08-01,24.934,New York
1994-08-01,13.692,Sydney
1994-08-01,18.795,Moscow
1994-08-01,27.316,Mumbai
1994-09-01,22.002,Rome
1994-09-01,,Tokyo
1994-09-01,20.468,New York
1994-09-01,15.876,Sydney
1994-09-01,12.688,Moscow
1994-09-01,27.582,Mumbai
1994-10-01,17.237,Rome
1994-10-01,18.057,Tokyo
1994-10-01,13.731,New York
1994-10-01,18.49,Sydney
1994-10-01,5.188,Moscow
1994-10-01,29.232,Mumbai
1994-11-01,12.234,Rome
1994-11-01,12.865,Tokyo
1994-11-01,8.552,New York
1994-11-01,20.292,Sydney
1994-11-01,-1.975,Moscow
1994-11-01,26.888,Mumbai
1994-12-01,8.571,Rome
1994-12-01,7.477,Tokyo
1994-12-01,2.651,New York
1994-12-01,22.356,Sydney
1994-12-01,-7.267,Moscow
1994-12-01,25.143,Mumbai
1995-01-01,7.124,Rome
1995-01-01,,Tokyo
1995-01-01,,New York
1995-01-01,22.908,Sydney
1995-01-01,-8.672,Moscow
1995-01-01,,Mumbai
1995-02-01,8.746,Rome
1995-02-01,6.141,Tokyo
1995-02-01,,New York
1995-02-01,22.857,Sydney
1995-02-01,-7.359,Moscow
1995-02-01,25.612,Mumbai
1995-03-01,11.199,Rome
1995-03-01,9.757,Tokyo
1995-03-01,6.202,New York
1995-03-01,20.8,Sydney
1995-03-01,-2.721,Moscow
1995-03-01,,Mumbai
1995-04-01,,Rome
1995-04-01,14.606,Tokyo
1995-04-01,12.507,New York
1995-04-01,18.545,Sydney
1995-04-01,5.957,Moscow
1995-04-01,30.387,Mumbai
1995-05-01,19.561,Rome
1995-05-01,19.574,Tokyo
1995-05-01,17.47,New York
1995-05-01,15.005,Sydney
1995-05-01,13.716,Moscow
1995-05-01,31.349,Mumbai
1995-06-01,23.675,Rome
1995-06-01,23.35,Tokyo
1995-06-01,23.044,New York
1995-06-01,12.914,Sydney
1995-06-01,,Moscow
1995-06-01,28.817,Mumbai
1995-07-01,26.252,Rome
1995-07-01,27.015,Tokyo
1995-07-01,25.719,New York
1995-07-01,12.333,Sydney
1995-07-01,,Moscow
1995-07-01,28.082,Mumbai
1995-08-01,25.917,Rome
1995-08-01,28.226,Tokyo
1995-08-01,24.776,New York
1995-08-01,12.722,Sydney
1995-08-01,18.432,Moscow
1995-08-01,27.342,Mumbai
1995-09-01,22.164,Rome
1995-09-01,24.558,Tokyo
1995-09-01,20.68,New York
1995-09-01,16.187,Sydney
1995-09-01,12.846,Moscow
1995-09-01,28.012,Mumbai
1995-10-01,,Rome
1995-10-01,,Tokyo
1995-10-01,13.981,New York
1995-10-01,18.9,Sydney
1995-10-01,5.353,Moscow
1995-10-01,30.038,Mumbai
1995-11-01,12.36,Rome
1995-11-01,12.364,Tokyo
1995-11-01,8.226,New York
1995-11-01,20.398,Sydney
1995-11-01,-1.352,Moscow
1995-11-01,27.669,Mumbai
1995-12-01,8.277,Rome
1995-12-01,7.153,Tokyo
1995-12-01,1.976,New York
1995-12-01,22.511,Sydney
1995-12-01,-7.206,Moscow
1995-12-01,25.233,Mumbai
1996-01-01,7.286,Rome
1996-01-01,5.414,Tokyo
1996-01-01,0.692,New York
1996-01-01,,Sydney
1996-01-01,,Moscow
1996-01-01,24.173,Mumbai
1996-02-01,8.828,Rome
1996-02-01,6.078,Tokyo
1996-02-01,1.945,New York
1996-02-01,22.586,Sydney
1996-02-01,-8.272,Moscow
1996-02-01,24.457,Mumbai
1996-03-01,11.744,Rome
1996-03-01,9.674,Tokyo
1996-03-01,6.608,New York
1996-03-01,21.752,Sydney
1996-03-01,-1.994,Moscow
1996-03-01,27.513,Mumbai
1996-04-01,15.436,Rome
1996-04-01,14.554,Tokyo
1996-04-01,12.263,New York
1996-04-01,18.28,Sydney
1996-04-01,6.658,Moscow
1996-04-01,29.328,Mumbai
1996-05-01,19.377,Rome
1996-05-01,19.79,Tokyo
1996-05-01,17.466,New York
1996-05-01,15.763,Sydney
1996-05-01,13.499,Moscow
1996-05-01,31.479,Mumbai
1996-06-01,24.078,Rome
1996-06-01,23.135,Tokyo
1996-06-01,22.769,New York
1996-06-01,13.09,Sydney
1996-06-01,18.028,Moscow
1996-06-01,29.956,Mumbai
1996-07-01,25.993,Rome
1996-07-01,27.803,Tokyo
1996-07-01,25.465,New York
1996-07-01,11.95,Sydney
1996-07-01,20.397,Moscow
1996-07-01,27.384,Mumbai
1996-08-01,25.512,Rome
1996-08-01,28.927,Tokyo
1996-08-01,25.376,New York
1996-08-01,13.967,Sydney
1996-08-01,18.565,Moscow
1996-08-01,27.293,Mumbai
1996-09-01,22.079,Rome
1996-09-01,25.005,Tokyo
1996-09-01,20.475,New York
1996-09-01,16.476,Sydney
1996-09-01,12.545,Moscow
1996-09-01,28.561,Mumbai
1996-10-01,17.161,Rome
1996-10-01,18.021,Tokyo
1996-10-01,13.692,New York
1996-10-01,18.529,Sydney
1996-10-01,5.048,Moscow
1996-10-01,29.435,Mumbai
1996-11-01,12.342,Rome
1996-11-01,12.487,Tokyo
1996-11-01,8.315,New York
1996-11-01,20.24,Sydney
1996-11-01,-2.259,Moscow
1996-11-01,27.147,Mumbai
1996-12-01,8.78,Rome
1996-12-01,6.955,Tokyo
1996-12-01,2.716,New York
1996-12-01,22.241,Sydney
1996-12-01,-7.124,Moscow
1996-12-01,24.94,Mumbai
1997-01-01,8.102,Rome
1997-01-01,,Tokyo
1997-01-01,0.775,New York
1997-01-01,22.312,Sydney
1997-01-01,-8.584,Moscow
1997-01-01,24.184,Mumbai
1997-02-01,8.921,Rome
1997-02-01,6.442,Tokyo
1997-02-01,1.176,New York
1997-02-01,22.57,Sydney
1997-02-01,-7.901,Moscow
1997-02-01,24.636,Mumbai
1997-03-01,11.726,Rome
1997-03-01,9.308,Tokyo
1997-03-01,5.906,New York
1997-03-01,21.684,Sydney
1997-03-01,-1.853,Moscow
1997-03-01,27.475,Mumbai
1997-04-01,15.302,Rome
1997-04-01,,Tokyo
1997-04-01,11.219,New York
1997-04-01,19.024,Sydney
1997-04-01,6.317,Moscow
1997-04-01,30.18,Mumbai
1997-05-01,19.334,Rome
1997-05-01,19.842,Tokyo
1997-05-01,17.61,New York
1997-05-01,15.634,Sydney
1997-05-01,13.92,Moscow
1997-05-01,31.382,Mumbai
1997-06-01,23.852,Rome
1997-06-01,22.937,Tokyo
1997-06-01,22.934,New York
1997-06-01,12.294,Sydney
1997-06-01,17.893,Moscow
1997-06-01,30.052,Mumbai
1997-07-01,26.214,Rome
1997-07-01,27.174,Tokyo
1997-07-01,25.961,New York
1997-07-01,12.04,Sydney
1997-07-01,20.28,Moscow
1997-07-01,28.006,Mumbai
1997-08-01,25.929,Rome
1997-08-01,29.401,Tokyo
1997-08-01,25.0,New York
1997-08-01,13.343,Sydney
1997-08-01,18.73,Moscow
1997-08-01,26.832,Mumbai
1997-09-01,22.906,Rome
1997-09-01,24.334,Tokyo
1997-09-01,21.068,New York
1997-09-01,16.362,Sydney
1997-09-01,12.246,Moscow
1997-09-01,27.756,Mumbai
1997-10-01,17.241,Rome
1997-10-01,18.516,Tokyo
1997-10-01,13.928,New York
1997-10-01,18.619,Sydney
1997-10-01,4.521,Moscow
1997-10-01,29.127,Mumbai
1997-11-01,11.623,Rome
1997-11-01,12.355,Tokyo
1997-11-01,8.06,New York
1997-11-01,,Sydney
1997-11-01,-2.356,Moscow
1997-11-01,27.278,Mumbai
1997-12-01,8.306,Rome
1997-12-01,7.234,Tokyo
1997-12-01,,New York
1997-12-01,,Sydney
1997-12-01,-7.282,Moscow
1997-12-01,25.278,Mumbai
1998-01-01,7.172,Rome
1998-01-01,5.091,Tokyo
1998-01-01,0.602,New York
1998-01-01,23.511,Sydney
1998-01-01,-9.287,Moscow
1998-01-01,24.221,Mumbai
1998-02-01,8.856,Rome
1998-02-01,6.108,Tokyo
1998-02-01,1.522,New York
1998-02-01,22.609,Sydney
1998-02-01,-7.388,Moscow
1998-02-01,,Mumbai
1998-03-01,11.473,Rome
1998-03-01,9.746,Tokyo
1998-03-01,6.545,New York
1998-03-01,21.094,Sydney
1998-03-01,-2.405,Moscow
1998-03-01,28.021,Mumbai
1998-04-01,14.54,Rome
1998-04-01,15.17,Tokyo
1998-04-01,11.87,New York
1998-04-01,18.877,Sydney
1998-04-01,6.293,Moscow
1998-04-01,29.804,Mumbai
1998-05-01,19.683,Rome
1998-05-01,19.893,Tokyo
1998-05-01,17.584,New York
1998-05-01,,Sydney
1998-05-01,13.374,Moscow
1998-05-01,,Mumbai
1998-06-01,23.815,Rome
1998-06-01,23.361,Tokyo
1998-06-01,23.129,New York
1998-06-01,12.48,Sydney
1998-06-01,17.77,Moscow
1998-06-01,29.394,Mumbai
1998-07-01,,Rome
1998-07-01,27.419,Tokyo
1998-07-01,25.614,New York
1998-07-01,11.696,Sydney
1998-07-01,20.145,Moscow
1998-07-01,27.949,Mumbai
1998-08-01,26.17,Rome
1998-08-01,28.245,Tokyo
1998-08-01,,New York
1998-08-01,13.128,Sydney
1998-08-01,18.8,Moscow
1998-08-01,27.467,Mumbai
1998-09-01,22.133,Rome
1998-09-01,24.468,Tokyo
1998-09-01,19.651,New York
1998-09-01,16.005,Sydney
1998-09-01,13.03,Moscow
1998-09-01,28.122,Mumbai
1998-10-01,17.254,Rome
1998-10-01,18.454,Tokyo
1998-10-01,14.415,New York
1998-10-01,18.752,Sydney
1998-10-01,5.041,Moscow
1998-10-01,29.868,Mumbai
1998-11-01,11.55,Rome
1998-11-01,,Tokyo
1998-11-01,7.956,New York
1998-11-01,,Sydney
1998-11-01,,Moscow
1998-11-01,27.189,Mumbai
1998-12-01,8.161,Rome
1998-12-01,7.791,Tokyo
1998-12-01,2.84,New York
1998-12-01,22.303,Sydney
1998-12-01,,Moscow
1998-12-01,25.517,Mumbai
1999-01-01,7.558,Rome
1999-01-01,5.646,Tokyo
1999-01-01,0.112,New York
1999-01-01,23.006,Sydney
1999-01-01,-8.907,Moscow
1999-01-01,24.526,Mumbai
1999-02-01,8.388,Rome
1999-02-01,5.978,Tokyo
1999-02-01,,New York
1999-02-01,22.645,Sydney
1999-02-01,-8.55,Moscow
1999-02-01,24.426,Mumbai
1999-03-01,11.515,Rome
1999-03-01,9.282,Tokyo
1999-03-01,6.101,New York
1999-03-01,21.408,Sydney
1999-03-01,-1.881,Moscow
1999-03-01,,Mumbai
1999-04-01,14.778,Rome
1999-04-01,14.743,Tokyo
1999-04-01,11.982,New York
1999-04-01,18.603,Sydney
1999-04-01,6.449,Moscow
1999-04-01,,Mumbai
1999-05-01,19.407,Rome
1999-05-01,19.463,Tokyo
1999-05-01,17.447,New York
1999-05-01,15.725,Sydney
1999-05-01,13.68,Moscow
1999-05-01,31.236,Mumbai
1999-06-01,23.613,Rome
1999-06-01,23.276,Tokyo
1999-06-01,22.855,New York
1999-06-01,,Sydney
1999-06-01,17.601,Moscow
1999-06-01,29.33,Mumbai
1999-07-01,26.637,Rome
1999-07-01,27.265,Tokyo
1999-07-01,25.669,New York
1999-07-01,12.602,Sydney
1999-07-01,20.413,Moscow
1999-07-01,27.915,Mumbai
1999-08-01,26.311,Rome
1999-08-01,28.627,Tokyo
1999-08-01,25.129,New York
1999-08-01,13.641,Sydney
1999-08-01,18.653,Moscow
1999-08-01,27.505,Mumbai
1999-09-01,22.107,Rome
1999-09-01,24.53,Tokyo
1999-09-01,20.483,New York
1999-09-01,16.413,Sydney
1999-09-01,12.028,Moscow
1999-09-01,28.193,Mumbai
1999-10-01,17.467,Rome
1999-10-01,18.479,Tokyo
1999-10-01,14.726,New York
1999-10-01,18.479,Sydney
1999-10-01,5.115,Moscow
1999-10-01,29.538,Mumbai
1999-11-01,12.029,Rome
1999-11-01,12.45,Tokyo
1999-11-01,8.028,New York
1999-11-01,20.06,Sydney
1999-11-01,-1.198,Moscow
1999-11-01,26.939,Mumbai
1999-12-01,8.269,Rome
1999-12-01,7.39,Tokyo
1999-12-01,2.409,New York
1999-12-01,22.538,Sydney
1999-12-01,-7.389,Moscow
1999-12-01,25.371,Mumbai
